cp,ko,en,fr,es
🧚‍♂,남자 요정,man fairy,féetaud,hada hombre
🧚‍♀,여자 요정,woman fairy,fée,hada mujer
🧛,뱀파이어,vampire,vampire,vampiro
🧛‍♂,남자 뱀파이어,man vampire,vampire homme,vampiro hombre
🧛‍♀,여자 뱀파이어,woman vampire,vampire femme,vampiresa
🧜,인어,merperson,créature aquatique,persona sirena
🧜‍♂,남자 인어,merman,triton,sirena hombre
🧜‍♀,여자 인어,mermaid,sirène,sirena
🧝,엘프,elf,elfe,elfo
🧝‍♂,남자 엘프,man elf,elfe homme,elfo hombre
🧝‍♀,여자 엘프,woman elf,elfe femme,elfa
🧞,지니,genie,génie,genio
🧞‍♂,남자 지니,man genie,génie homme,genio hombre
🧞‍♀,여자 지니,woman genie,génie femme,genio mujer
🧟,좀비,zombie,zombie,zombi
🧟‍♂,남자 좀비,man zombie,zombie homme,zombi hombre
🧟‍♀,여자 좀비,woman zombie,zombie femme,zombi mujer
💆,마사지 받는 사람,person getting massage,personne qui se fait masser,persona recibiendo masaje
💆‍♂,마사지 받는 남자,man getting massage,homme qui se fait masser,hombre recibiendo masaje
💆‍♀,마사지 받는 여자,woman getting massage,femme qui se fait masser,mujer recibiendo masaje
💇,헤어컷,person getting haircut,personne qui se fait couper les cheveux,persona cortándose el pelo
💇‍♂,남자 헤어컷,man getting haircut,homme qui se fait couper les cheveux,hombre cortándose el pelo
💇‍♀,여자 헤어컷,woman getting haircut,femme qui se fait couper les cheveux,mujer cortándose el pelo
🚶,보행자,person walking,personne qui marche,persona caminando
🚶‍♂,걷는 남자,man walking,homme qui marche,hombre caminando
🚶‍♀,걷는 여자,woman walking,femme qui marche,mujer caminando
🧍,서 있는 사람,person standing,personne debout,persona de pie
🧍‍♂,서 있는 남자,man standing,homme debout,hombre de pie
🧍‍♀,서 있는 여자,woman standing,femme debout,mujer de pie
🧎,무릎을 꿇은 사람,person kneeling,personne à genoux,persona de rodillas
🧎‍♂,무릎을 꿇은 남자,man kneeling,homme à genoux,hombre de rodillas
🧎‍♀,무릎을 꿇은 여자,woman kneeling,femme à genoux,mujer de rodillas
🧑‍🦯,지팡이를 든 사람,person with white cane,personne avec une canne blanche,persona con bastón
👨‍🦯,지팡이를 든 남자,man with white cane,homme avec canne blanche,hombre con bastón
👩‍🦯,지팡이를 든 여자,woman with white cane,femme avec canne blanche,mujer con bastón
🧑‍🦼,전동 휠체어를 탄 사람,person in motorized wheelchair,personne en fauteuil motorisé,persona en silla de ruedas eléctrica
👨‍🦼,전동 휠체어를 탄 남자,man in motorized wheelchair,homme en fauteuil motorisé,hombre en silla de ruedas eléctrica
👩‍🦼,전동 휠체어를 탄 여자,woman in motorized wheelchair,femme en fauteuil motorisé,mujer en silla de ruedas eléctrica
🧑‍🦽,수동 휠체어를 탄 사람,person in manual wheelchair,personne en fauteuil roulant manuel,persona en silla de ruedas manual
👨‍🦽,수동 휠체어를 탄 남자,man in manual wheelchair,homme en fauteuil roulant manuel,hombre en silla de ruedas manual
👩‍🦽,수동 휠체어를 탄 여자,woman in manual wheelchair,femme en fauteuil roulant manuel,mujer en silla de ruedas manual
🏃,뛰는 사람,person running,personne qui court,persona corriendo
🏃‍♂,뛰는 남자,man running,homme qui court,hombre corriendo
🏃‍♀,뛰는 여자,woman running,femme qui court,mujer corriendo
💃,여자 댄서,woman dancing,danseuse,mujer bailando
🕺,남자 댄서,man dancing,danseur,hombre bailando
🕴,공중에 떠 있는 정장 입은 남자,person in suit levitating,homme d’affaires en lévitation,hombre trajeado levitando
👯,토끼 귀를 쓰고 춤추는 사람들,people with bunny ears,personnes avec des oreilles de lapin,personas con orejas de conejo
👯‍♂,토끼 귀를 쓰고 춤추는 남자들,men with bunny ears,hommes avec des oreilles de lapin,hombres con orejas de conejo
👯‍♀,토끼 귀를 쓰고 춤추는 여자들,women with bunny ears,femmes avec des oreilles de lapin,mujeres con orejas de conejo
🧖,사우나 하는 사람,person in steamy room,personne au hammam,persona en una sauna
🧖‍♂,사우나 하는 남자,man in steamy room,homme au hammam,hombre en una sauna
🧖‍♀,사우나 하는 여자,woman in steamy room,femme au hammam,mujer en una sauna
🧗,클라이밍하는 사람,person climbing,personne qui grimpe,persona escalando
🧗‍♂,클라이밍하는 남자,man climbing,homme qui grimpe,hombre escalando
🧗‍♀,클라이밍하는 여자,woman climbing,femme qui grimpe,mujer escalando
🤺,펜싱하는 사람,person fencing,escrimeur,esgrima
🏇,승마,horse racing,course hippique,carrera de caballos
⛷,스키 타는 사람,skier,skieur,esquiador
🏂,스노보드 타는 사람,snowboarder,snowboardeur,practicante de snowboard
🏌,골프치는 사람,person golfing,joueur de golf,golfista
🏌‍♂,골프치는 남자,man golfing,golfeur,hombre jugando al golf
🏌‍♀,골프치는 여자,woman golfing,golfeuse,mujer jugando al golf
🏄,서핑하는 사람,person surfing,personne faisant du surf,persona haciendo surf
🏄‍♂,서핑하는 남자,man surfing,surfeur,hombre haciendo surf
🏄‍♀,서핑하는 여자,woman surfing,surfeuse,mujer haciendo surf
🚣,노젓는 사람,person rowing boat,personne ramant dans une barque,persona remando en un bote
🚣‍♂,노젓는 남자,man rowing boat,rameur dans une barque,hombre remando en un bote
🚣‍♀,노젓는 여자,woman rowing boat,rameuse dans une barque,mujer remando en un bote
🏊,수영하는 사람,person swimming,personne nageant,persona nadando
🏊‍♂,수영하는 남자,man swimming,nageur,hombre nadando
🏊‍♀,수영하는 여자,woman swimming,nageuse,mujer nadando
⛹,공을 갖고 있는 사람,person bouncing ball,personne avec ballon,persona botando un balón
⛹‍♂,공 가진 남자,man bouncing ball,homme avec ballon,hombre botando un balón
⛹‍♀,공 가진 여자,woman bouncing ball,femme avec ballon,mujer botando un balón
🏋,역도 선수,person lifting weights,haltérophile,persona levantando pesas
🏋‍♂,남자 역도 선수,man lifting weights,homme haltérophile,hombre levantando pesas
🏋‍♀,여자 역도 선수,woman lifting weights,femme haltérophile,mujer levantando pesas
🚴,자전거 타는 사람,person biking,cycliste,persona en bicicleta
🚴‍♂,자전거 타는 남자,man biking,cycliste homme,hombre en bicicleta
🚴‍♀,자전거 타는 여자,woman biking,cycliste femme,mujer en bicicleta
🚵,산악 자전거 타는 사람,person mountain biking,personne en VTT,persona en bicicleta de montaña
🚵‍♂,산악 자전거 타는 남자,man mountain biking,homme en VTT,hombre en bicicleta de montaña
🚵‍♀,산악 자전거 타는 여자,woman mountain biking,femme en VTT,mujer en bicicleta de montaña
🤸,옆돌기하는 사람,person cartwheeling,personne faisant la roue,persona haciendo voltereta lateral
🤸‍♂,옆돌기하는 남자,man cartwheeling,homme faisant la roue,hombre haciendo una voltereta lateral
🤸‍♀,옆돌기하는 여자,woman cartwheeling,femme faisant la roue,mujer haciendo voltereta lateral
🤼,레슬링하는 사람,people wrestling,personnes faisant de la lutte,personas luchando
🤼‍♂,레슬링하는 남자,men wrestling,lutteurs,hombres luchando
🤼‍♀,레슬링하는 여자,women wrestling,lutteuses,mujeres luchando
🤽,수구하는 사람,person playing water polo,personne jouant au water-polo,persona jugando al waterpolo
🤽‍♂,수구하는 남자,man playing water polo,joueur de water-polo,hombre jugando al waterpolo
🤽‍♀,수구하는 여자,woman playing water polo,joueuse de water-polo,mujer jugando al waterpolo
🤾,핸드볼하는 사람,person playing handball,personne jouant au handball,persona jugando al balonmano
🤾‍♂,핸드볼하는 남자,man playing handball,handballeur,hombre jugando al balonmano
🤾‍♀,핸드볼하는 여자,woman playing handball,handballeuse,mujer jugando al balonmano
🤹,저글링하는 사람,person juggling,personne qui jongle,persona haciendo malabares
🤹‍♂,저글링하는 남자,man juggling,jongleur,hombre haciendo malabares
🤹‍♀,저글링하는 여자,woman juggling,jongleuse,mujer haciendo malabares
🧘,가부좌한 사람,person in lotus position,personne dans la posture du lotus,persona en posición de loto
🧘‍♂,가부좌한 남자,man in lotus position,homme dans la posture du lotus,hombre en posición de loto
🧘‍♀,가부좌한 여자,woman in lotus position,femme dans la posture du lotus,mujer en posición de loto
🛀,목욕하는 사람,person taking bath,personne prenant un bain,persona en la bañera
🛌,침대에 누운 사람,person in bed,personne au lit,persona en la cama
🧑‍🤝‍🧑,손을 잡고 있는 두 명의 사람,people holding hands,deux personnes se tenant la main,dos personas dándose la mano
👭,손을 잡고 있는 두 명의 여자,women holding hands,deux femmes se tenant la main,mujeres de la mano
👫,손을 잡고 있는 남녀,woman and man holding hands,femme et homme se tenant la main,mujer y hombre de la mano
👬,손을 잡고 있는 두 명의 남자,men holding hands,deux hommes se tenant la main,hombres de la mano
💏,키스,kiss,bisou,beso
💑,연인,couple with heart,couple avec cœur,pareja enamorada
👪,가족,family,famille,familia
🗣,말하고 있는 옆얼굴,speaking head,tête qui parle,cabeza parlante
👤,사람 그림자,bust in silhouette,silhouette de buste,silueta de busto
👥,사람들 그림자,busts in silhouette,silhouettes de bustes,dos siluetas de bustos
👣,발자국,footprints,traces de pas,huellas de pies
🦰,빨간 머리,red hair,cheveux roux,pelo pelirrojo
🦱,곱슬머리,curly hair,cheveux bouclés,pelo rizado
🦳,백발,white hair,cheveux blancs,pelo blanco
🦲,대머리,bald,chauve,sin pelo
🐵,원숭이 얼굴,monkey face,tête de singe,cara de mono
🐒,원숭이,monkey,singe,mono
🦍,고릴라,gorilla,gorille,gorila
🦧,오랑우탄,orangutan,orang-outan,orangután
🐶,강아지 얼굴,dog face,tête de chien,cara de perro
🐕,개,dog,chien,perro
🦮,안내견,guide dog,chien guide,perro guía
🐕‍🦺,보조견,service dog,chien d’assistance,perro de servicio
🐩,푸들,poodle,caniche,caniche
🐺,늑대 얼굴,wolf,loup,lobo
🦊,여우 얼굴,fox,renard,zorro
🦝,너구리,raccoon,raton laveur,mapache
🐱,고양이 얼굴,cat face,tête de chat,cara de gato
🐈,고양이,cat,chat,gato
🐈‍⬛,검은 고양이,black cat,chat noir,gato negro
🦁,사자 얼굴,lion,tête de lion,león
🐯,호랑이 얼굴,tiger face,tête de tigre,cara de tigre
🐅,호랑이,tiger,tigre,tigre
🐆,표범,leopard,léopard,leopardo
🐴,말 얼굴,horse face,tête de cheval,cara de caballo
🐎,말,horse,cheval,caballo
🦄,유니콘 얼굴,unicorn,licorne,unicornio
🦓,얼룩말,zebra,zèbre,cebra
🦌,사슴,deer,cerf,ciervo
🐮,소 얼굴,cow face,tête de vache,cara de vaca
🐂,소,ox,bœuf,buey
🐃,물소,water buffalo,buffle,búfalo de agua
🐄,젖소,cow,vache,vaca
🐷,돼지 얼굴,pig face,tête de cochon,cara de cerdo
🐖,돼지,pig,cochon,cerdo
🐗,멧돼지,boar,sanglier,jabalí
🐽,돼지코,pig nose,groin,nariz de cerdo
🐏,숫양,ram,bélier,carnero
🐑,양,ewe,mouton,oveja
🐐,염소,goat,chèvre,cabra
🐪,낙타,camel,dromadaire,dromedario
🐫,쌍봉 낙타,two-hump camel,chameau,camello
🦙,라마,llama,lama,llama
🦒,기린,giraffe,girafe,jirafa
🐘,코끼리,elephant,éléphant,elefante
🦏,코뿔소,rhinoceros,rhinocéros,rinoceronte
🦛,하마,hippopotamus,hippopotame,hipopótamo
🐭,쥐 얼굴,mouse face,tête de souris,cara de ratón
🐁,생쥐,mouse,souris,ratón
🐀,쥐,rat,rat,rata
🐹,햄스터 얼굴,hamster,hamster,hámster
🐰,토끼 얼굴,rabbit face,tête de lapin,cara de conejo
🐇,토끼,rabbit,lapin,conejo
🐿,얼룩다람쥐,chipmunk,écureuil,ardilla
🦔,고슴도치,hedgehog,hérisson,erizo
🦇,박쥐,bat,chauve-souris,murciélago
🐻,곰 얼굴,bear,ours,oso
🐻‍❄,북극곰,polar bear,ours polaire,oso polar
🐨,코알라,koala,koala,koala
🐼,판다 얼굴,panda,panda,panda
🦥,나무늘보,sloth,paresseux,perezoso
🦦,수달,otter,loutre,nutria
🦨,스컹크,skunk,mouffette,mofeta
🦘,캥거루,kangaroo,kangourou,canguro
🦡,오소리,badger,blaireau,tejón
🐾,곰발바닥,paw prints,empreintes d’animaux,huellas de pezuñas
🦃,칠면조,turkey,dindon,pavo
🐔,닭,chicken,poule,gallina
🐓,수탉,rooster,coq,gallo
🐣,알에서 깬 병아리,hatching chick,poussin qui éclôt,pollito rompiendo el cascarón
🐤,병아리,baby chick,poussin,pollito
🐥,정면을 향해 날개를 편 병아리,front-facing baby chick,poussin de face,pollito de frente
🐦,새,bird,oiseau,pájaro
🐧,펭귄,penguin,pingouin,pingüino
🕊,비둘기,dove,colombe,paloma
🦅,독수리,eagle,aigle,águila
🦆,오리,duck,canard,pato
🦢,백조,swan,cygne,cisne
🦉,부엉이,owl,chouette,búho
🦩,홍학,flamingo,flamant,flamenco
🦚,공작,peacock,paon,pavo real
🦜,앵무새,parrot,perroquet,loro
🐸,개구리 얼굴,frog,grenouille,rana
🐊,악어,crocodile,crocodile,cocodrilo
🐢,거북이,turtle,tortue,tortuga
🦎,도마뱀,lizard,lézard,lagarto
🐍,뱀,snake,serpent,serpiente
🐲,용 얼굴,dragon face,tête de dragon,cara de dragón
🐉,용,dragon,dragon,dragón
🦕,초식 공룡,sauropod,sauropode,saurópodo
🦖,티라노사우루스,T-Rex,T-Rex,t-rex
🐳,물 뿜는 고래,spouting whale,baleine soufflant par son évent,ballena soltando un chorro
🐋,고래,whale,baleine,ballena
🐬,돌고래,dolphin,dauphin,delfín
🐟,물고기,fish,poisson,pez
🐠,열대어,tropical fish,poisson tropical,pez tropical
🐡,복어,blowfish,poisson-lune,pez globo
🦈,상어,shark,requin,tiburón
🐙,문어,octopus,pieuvre,pulpo
🐚,달팽이집,spiral shell,coquille en spirale,concha de mar
🐌,달팽이,snail,escargot,caracol
🦋,나비,butterfly,papillon,mariposa
🐛,송충이,bug,chenille,insecto
🐜,개미,ant,fourmi,hormiga
🐝,꿀벌,honeybee,abeille,abeja
🐞,무당벌레,lady beetle,coccinelle,mariquita
🦗,귀뚜라미,cricket,criquet,grillo
🕷,거미,spider,araignée,araña
🕸,거미줄,spider web,toile d’araignée,tela de araña
🦂,전갈,scorpion,scorpion,escorpión
🦟,모기,mosquito,moustique,mosquito
🦠,미생물,microbe,microbe,microbio
💐,꽃다발,bouquet,bouquet,ramo de flores
🌸,벚꽃,cherry blossom,fleur de cerisier,flor de cerezo
💮,흰 꽃,white flower,fleur blanche,flor blanca
🏵,장미,rosette,rosette,roseta
🌹,장미꽃,rose,rose,rosa
🥀,시든 꽃,wilted flower,fleur fanée,flor marchita
🌺,무궁화,hibiscus,hibiscus,flor de hibisco
🌻,해바라기,sunflower,tournesol,girasol
🌼,꽃송이,blossom,bourgeon,flor
🌷,튤립,tulip,tulipe,tulipán
🌱,새싹,seedling,jeune pousse,planta joven
🌲,소나무,evergreen tree,conifère,árbol de hoja perenne
🌳,나무,deciduous tree,arbre à feuilles caduques,árbol de hoja caduca
🌴,야자수,palm tree,palmier,palmera
🌵,선인장,cactus,cactus,cactus
🌾,벼,sheaf of rice,plant de riz,espiga de arroz
🌿,풀,herb,feuille,hierba
☘,토끼풀,shamrock,trèfle,trébol
🍀,네잎클로버,four leaf clover,trèfle à quatre feuilles,trébol de cuatro hojas
🍁,단풍잎,maple leaf,feuille d’érable,hoja de arce
🍂,낙엽,fallen leaf,feuille morte,hojas caídas
🍃,바람에 흔들리는 나뭇잎,leaf fluttering in wind,feuille virevoltante,hojas revoloteando al viento
🍇,포도,grapes,raisin,uvas
🍈,멜론,melon,melon,melón
🍉,수박,watermelon,pastèque,sandía
🍊,귤,tangerine,mandarine,mandarina
🍋,레몬,lemon,citron,limón
🍌,바나나,banana,banane,plátano
🍍,파인애플,pineapple,ananas,piña
🥭,망고,mango,mangue,mango
🍎,빨간 사과,red apple,pomme rouge,manzana roja
🍏,초록 사과,green apple,pomme verte,manzana verde
🍐,배,pear,poire,pera
🍑,복숭아,peach,pêche,melocotón
🍒,체리,cherries,cerises,cerezas
🍓,딸기,strawberry,fraise,fresa
🥝,키위,kiwi fruit,kiwi,kiwi
🍅,토마토,tomato,tomate,tomate
🥥,코코넛,coconut,noix de coco,coco
🥑,아보카도,avocado,avocat,aguacate
🍆,가지,eggplant,aubergine,berenjena
🥔,감자,potato,pomme de terre,patata
🥕,당근,carrot,carotte,zanahoria
🌽,옥수수,ear of corn,épi de maïs,espiga de maíz
🌶,홍고추,hot pepper,piment rouge,chile picante
🥒,오이,cucumber,concombre,pepino
🥬,녹색 채소,leafy green,légume à feuilles vertes,verdura de hoja verde
🥦,브로콜리,broccoli,broccoli,brócoli
🧄,마늘,garlic,ail,ajo
🧅,양파,onion,oignon,cebolla
🍄,버섯,mushroom,champignon,champiñón
🥜,땅콩,peanuts,cacahuètes,cacahuetes
🌰,밤,chestnut,châtaigne,castaña
🍞,빵,bread,pain,pan de molde
🥐,크루아상,croissant,croissant,cruasán
🥖,바게트,baguette bread,baguette,baguete
🥨,프레첼,pretzel,bretzel,bretzel
🥯,베이글,bagel,bagel,bagel
🥞,팬케이크,pancakes,pancakes,tortitas
🧇,와플,waffle,gaufre,gofre
🧀,치즈 조각,cheese wedge,part de fromage,cuña de queso
🍖,고기,meat on bone,viande sur un os,carne con hueso
🍗,닭다리,poultry leg,cuisse de poulet,muslo de pollo
🥩,고깃덩이,cut of meat,morceau de viande,corte de carne
🥓,베이컨,bacon,lard,beicon
🍔,햄버거,hamburger,hamburger,hamburguesa
🍟,감자튀김,french fries,frites,patatas fritas
🍕,피자,pizza,pizza,pizza
🌭,핫도그,hot dog,hot dog,perrito caliente
🥪,샌드위치,sandwich,sandwich,sándwich
🌮,타코,taco,taco,taco
🌯,부리또,burrito,burrito,burrito
🥙,밀전병에 싼 요리,stuffed flatbread,kebab,pan relleno
🧆,팔라펠,falafel,falafels,falafel
🥚,달걀,egg,œuf,huevo
🍳,프라이팬,cooking,œuf au plat,cocinar
🥘,납작한 냄비,shallow pan of food,plat mitonné,paella
🍲,국,pot of food,marmite,olla de comida
🥣,스푼과 사발,bowl with spoon,bol avec cuillère,cuenco con cuchara
🥗,야채샐러드,green salad,salade verte,ensalada
🍿,팝콘,popcorn,pop-corn,palomitas
🧈,버터,butter,beurre,mantequilla
🧂,소금,salt,sel,sal
🥫,통조림,canned food,aliments en conserve,comida enlatada
🍱,도시락,bento box,boîte déjeuner,caja de bento
🍘,주먹밥,rice cracker,galette de riz,galleta de arroz
🍙,삼각 김밥,rice ball,boulette de riz,bola de arroz
🍚,밥,cooked rice,bol de riz,arroz cocido
🍛,카레라이스,curry rice,riz au curry,arroz con curry
🍜,국수,steaming bowl,bol fumant,tazón de fideos
🍝,스파게티,spaghetti,spaghetti,espagueti
🍠,고구마,roasted sweet potato,patate douce,patata asada
🍢,오뎅,oden,brochette de poisson,brocheta
🍣,초밥,sushi,sushi,sushi
🍤,새우튀김,fried shrimp,beignet de crevette,gamba frita
🍥,어묵,fish cake with swirl,croquette de poisson,pastel de pescado japonés
🥮,월병,moon cake,gâteau de lune,pastel de luna
🍡,떡꼬치,dango,brochette de bonbons,dango
🥟,만두,dumpling,boulette de pâte,dumpling
🥠,포츈 쿠키,fortune cookie,biscuit chinois,galleta de la fortuna
🥡,테이크아웃 상자,takeout box,boîte à emporter,caja para llevar
🦀,꽃게,crab,crabe,cangrejo
🦞,바닷가재,lobster,homard,langosta
🦐,새우,shrimp,crevette,gamba
🦑,오징어,squid,calamar,calamar
🦪,굴,oyster,huître,ostra
🍦,소프트 아이스크림,soft ice cream,glace italienne,cucurucho de helado
🍧,샤베트 아이스크림,shaved ice,granité,granizado hawaiano
🍨,아이스크림,ice cream,glace,helado
🍩,도넛,doughnut,doughnut,dónut
🍪,쿠키,cookie,cookie,galleta
🎂,생일 케이크,birthday cake,gâteau d’anniversaire,tarta de cumpleaños
🍰,조각 케익,shortcake,gâteau sablé,trozo de tarta
🧁,컵케이크,cupcake,cupcake,magdalena
🥧,파이,pie,tarte,pastel
🍫,초콜렛,chocolate bar,barre chocolatée,tableta de chocolate
🍬,사탕,candy,bonbon,caramelo
🍭,롤리팝,lollipop,sucette,piruleta
🍮,커스타드 푸딩,custard,crème renversée,flan
🍯,꿀,honey pot,pot de miel,tarro de miel
🍼,젖병,baby bottle,biberon,biberón
🥛,우유 한잔,glass of milk,verre de lait,vaso de leche
☕,뜨거운 음료,hot beverage,boisson chaude,bebida caliente
🍵,차,teacup without handle,tasse,tazón de té
🍶,사케,sake,saké,sake
🍾,코르크가 튀어나오고 있는 병,bottle with popping cork,bouteille de champagne,botella descorchada
🍷,와인잔,wine glass,verre de vin,copa de vino
🍸,칵테일,cocktail glass,cocktail,copa de cóctel
🍹,음료수,tropical drink,cocktail tropical,bebida tropical
🍺,맥주잔,beer mug,chope,jarra de cerveza
🍻,맥주,clinking beer mugs,chopes de bière,jarras de cerveza brindando
🥂,건배하는 샴페인 잔,clinking glasses,trinquer,copas brindando
🥃,양주잔,tumbler glass,verre tumbler,vaso de whisky
🥤,빨대와 컵,cup with straw,gobelet avec paille,vaso con pajita
🧃,음료 팩,beverage box,briquette de jus,tetrabrik
🧉,마테차,mate,maté,mate
🧊,얼음,ice,glaçon,cubito de hielo
🥢,젓가락,chopsticks,baguettes,palillos
🍽,포크와 나이프가 있는 접시,fork and knife with plate,fourchette et couteau avec assiette,cuchillo y tenedor con un plato
🍴,포크와 나이프,fork and knife,fourchette et couteau,tenedor y cuchillo
🥄,숟가락,spoon,cuillère,cuchara
🔪,식칼,kitchen knife,couteau de cuisine,cuchillo de cocina
🏺,암포라,amphora,amphore,ánfora
🌍,유럽과 아프리카가 보이는 지구,globe showing Europe-Africa,globe tourné sur l’Afrique et l’Europe,globo terráqueo mostrando Europa y África
🌎,미국이 보이는 지구,globe showing Americas,globe tourné sur les Amériques,globo terráqueo mostrando América
🌏,아시아와 호주가 보이는 지구,globe showing Asia-Australia,globe tourné sur l’Asie et l’Australie,globo terráqueo mostrando Asia y Australia
🌐,자오선 지구,globe with meridians,globe avec méridiens,globo terráqueo con meridianos
🗺,세계 지도,world map,carte du monde,mapa mundial
🗾,일본 지도,map of Japan,carte du Japon,mapa de Japón
🧭,나침반,compass,boussole,brújula
🏔,눈 덮인 산,snow-capped mountain,montagne enneigée,montaña con nieve
⛰,산,mountain,montagne,montaña
🌋,화산,volcano,volcan,volcán
🗻,후지산,mount fuji,mont Fuji,monte Fuji
🏕,캠핑,camping,camping,camping
🏖,파라솔이 있는 해변,beach with umbrella,plage avec parasol,playa y sombrilla
🏜,사막,desert,désert,desierto
🏝,사막 섬,desert island,île déserte,isla desierta
🏞,국립공원,national park,parc national,parque nacional
🏟,경기장,stadium,stade,estadio
🏛,고전 양식의 건축물,classical building,monument classique,edificio clásico
🏗,건물 공사,building construction,construction d’un bâtiment,construcción
🧱,벽돌,brick,brique,ladrillo
🏘,주택 건물,houses,maisons,casas
🏚,낡은 주택 건물,derelict house,maison abandonnée,casa abandonada
🏠,집,house,pavillon,casa
🏡,정원이 있는 집,house with garden,maison avec jardin,casa con jardín
🏢,빌딩,office building,immeuble de bureaux,edificio de oficinas
🏣,일본 우체국,Japanese post office,bureau de poste japonais,oficina de correos japonesa
🏤,우체국,post office,bureau de poste,oficina de correos europea
🏥,병원,hospital,hôpital,hospital
🏦,은행,bank,banque,banco
🏨,호텔,hotel,hôtel,hotel
🏩,모텔,love hotel,love hotel,hotel del amor
🏪,편의점,convenience store,supérette,tienda 24 horas
🏫,학교,school,école,edificio de colegio
🏬,백화점,department store,grand magasin,grandes almacenes
🏭,공장,factory,usine,fábrica
🏯,일본 성,Japanese castle,château japonais,castillo japonés
🏰,유럽 성,castle,château,castillo europeo
💒,결혼식,wedding,mariage,iglesia celebrando boda
🗼,도쿄 타워,Tokyo tower,tour de Tokyo,Torre de Tokio
🗽,자유의 여신상,Statue of Liberty,statue de la Liberté,Estatua de la Libertad
⛪,교회,church,église,iglesia
🕌,모스크,mosque,mosquée,mezquita
🛕,힌두교 사원,hindu temple,temple hindou,templo hindú
🕍,시나고그,synagogue,synagogue,sinagoga
⛩,신토 신사,shinto shrine,sanctuaire shinto,santuario sintoísta
🕋,카바,kaaba,kaaba,Kaaba
⛲,분수,fountain,fontaine,fuente
⛺,텐트,tent,tente,tienda de campaña
🌁,자욱한 안개,foggy,brume,bruma
🌃,밤하늘 별,night with stars,nuit étoilée,noche estrellada
🏙,도시 전경,cityscape,ville,paisaje urbano
🌄,산에서 떠오르는 해,sunrise over mountains,soleil levant derrière les montagnes,amanecer sobre montañas
🌅,일출,sunrise,soleil levant,amanecer
🌆,도시 야경,cityscape at dusk,ville au crépuscule,ciudad al atardecer
🌇,일몰,sunset,coucher de soleil,puesta del sol
🌉,밤하늘을 배경으로 하는 다리,bridge at night,pont de nuit,puente de noche
♨,온천,hot springs,sources chaudes,aguas termales
🎠,회전 목마,carousel horse,cheval de manège,caballo de tiovivo
🎡,관람차,ferris wheel,grande roue,noria de feria
🎢,롤러코스터,roller coaster,montagnes russes,montaña rusa
💈,이발소,barber pole,enseigne de barbier,poste de barbero
🎪,서커스,circus tent,chapiteau,carpa de circo
🚂,기관차,locomotive,locomotive,locomotora de vapor
🚃,전철,railway car,wagon,vagón
🚄,고속열차,high-speed train,TGV,tren de alta velocidad
🚅,고속철,bullet train,train à grande vitesse,tren bala
🚆,기차,train,train,tren
🚇,지하철,metro,métro,metro
🚈,경전철,light rail,métro léger,tren ligero
🚉,기차역,station,gare,estación de tren
🚊,트램,tram,tramway,tranvía
🚝,모노레일,monorail,monorail,monorraíl
🚞,기차 터널,mountain railway,train de montagne,ferrocarril de montaña
🚋,트램 차량,tram car,wagon de tramway,vagón de tranvía
🚌,버스,bus,bus,autobús
🚍,오고 있는 버스,oncoming bus,bus de face,autobús próximo
🚎,트롤리 버스,trolleybus,trolleybus,trolebús
🚐,미니버스,minibus,minibus,minibús
🚑,구급차,ambulance,ambulance,ambulancia
🚒,소방차,fire engine,camion de pompier,coche de bomberos
🚓,경찰차,police car,voiture de police,coche de policía
🚔,오고 있는 경찰차,oncoming police car,voiture de police de face,coche de policía próximo
🚕,택시,taxi,taxi,taxi
🚖,오고 있는 택시,oncoming taxi,taxi de face,taxi próximo
🚗,자동차,automobile,voiture,coche
🚘,오고 있는 자동차,oncoming automobile,voiture de face,coche próximo
🚙,지프,sport utility vehicle,véhicule utilitaire sport,vehículo deportivo utilitario
🚚,운송 트럭,delivery truck,camion de livraison,camión de reparto
🚛,트레일러 트럭,articulated lorry,semi-remorque,camión articulado
🚜,트랙터,tractor,tracteur,tractor
🏎,경주용 자동차,racing car,voiture de course,coche de carreras
🏍,오토바이,motorcycle,moto,moto
🛵,스쿠터,motor scooter,scooter,scooter
🦽,수동 휠체어,manual wheelchair,fauteuil roulant manuel,silla de ruedas manual
🦼,전동 휠체어,motorized wheelchair,fauteuil motorisé,silla de ruedas eléctrica
🛺,경삼륜차,auto rickshaw,tuk tuk,mototaxi
🚲,자전거,bicycle,vélo,bicicleta
🛴,킥보드,kick scooter,trottinette,patinete
🛹,스케이트보드,skateboard,planche à roulettes,monopatín
🚏,버스 정류장,bus stop,arrêt de bus,parada de autobús
🛣,고속도로,motorway,autoroute,autopista
🛤,철도 선로,railway track,voie ferrée,vía de tren
🛢,기름통,oil drum,baril de pétrole,barril de petróleo
⛽,주유소,fuel pump,pompe à essence,surtidor de gasolina
🚨,사이렌,police car light,gyrophare,luces de policía
🚥,가로 신호등,horizontal traffic light,feu tricolore horizontal,semáforo horizontal
🚦,세로 신호등,vertical traffic light,feu tricolore vertical,semáforo
🛑,멈춤 표시,stop sign,stop,señal de stop
🚧,공사 중,construction,travaux,obras
⚓,닻,anchor,ancre,ancla
⛵,돛단배,sailboat,voilier,barco de vela
🛶,카누,canoe,canoë,canoa
🚤,쾌속정,speedboat,hors-bord,lancha motora
🛳,여객선,passenger ship,paquebot,barco de pasajeros
